Feature,Importance
numeric__Annual_Income,0.12031837277479214
numeric__Premium_Amount,0.11768049266195002
numeric__Annual_Mileage,0.1153759029778552
numeric__Age,0.10794879867650008
numeric__Vehicle_Age,0.10105093942915433
numeric__Policy_Tenure,0.07127368792137932
numeric__Previous_Claims,0.0639303871889903
numeric__Traffic_Violations,0.04339165078057716
categorical__Policy_Type_Standard,0.01629339929824861
categorical__Policy_Type_Basic,0.01584561445473783
categorical__Gender_Female,0.015568957218388756
categorical__Vehicle_Type_Sedan,0.015537470178061258
categorical__Vehicle_Type_Motorcycle,0.01541706090968095
categorical__Vehicle_Type_Pickup,0.015168250176680819
categorical__Policy_Type_Premium,0.01510949887029307
categorical__Gender_Male,0.014710553912169175
categorical__Vehicle_Type_SUV,0.014700006261546956
categorical__Occupation_Business Owner,0.01445159607001006
categorical__Occupation_Driver,0.014098856176909839
categorical__Occupation_Student,0.014031359543961364
categorical__Vehicle_Type_Hatchback,0.013875493344151843
categorical__Occupation_Office Worker,0.013796637421180095
categorical__Occupation_Teacher,0.013403680234084076
categorical__Occupation_Engineer,0.013219427793792881
categorical__Accident_History_No,0.011941899909097201
categorical__Accident_History_Yes,0.011860005815806509
