Customer_ID,Age,Gender,Annual_Income,Policy_Type,Policy_Tenure,Premium_Amount,Vehicle_Type,Vehicle_Age,Previous_Claims,Accident_History,Annual_Mileage,Traffic_Violations,Occupation,Claim,Claim_Probability,Risk_Score,Risk_Level
100001,56,Female,47821211,Premium,5,1661944,SUV,13,4,No,49893,0,Student,1,89.33,89.33,HIGH
100002,69,Female,55016158,Basic,5,10790326,Hatchback,8,0,No,38136,1,Office Worker,0,8.33,8.33,LOW
100003,46,Female,166182433,Standard,7,11643876,Motorcycle,9,1,No,29314,1,Driver,0,64.67,64.67,MEDIUM
100004,32,Male,122966396,Premium,9,14364539,Sedan,14,1,No,32852,0,Teacher,0,6.0,6.0,LOW
100005,60,Male,201860663,Standard,4,13850341,Motorcycle,6,2,No,7953,0,Teacher,1,82.67,82.67,HIGH
100006,25,Female,232958734,Standard,9,5650635,Hatchback,11,0,No,27282,2,Office Worker,0,9.33,9.33,LOW
100007,38,Male,233983087,Basic,10,14376714,Sedan,13,3,No,14237,4,Student,1,87.0,87.0,HIGH
100008,56,Female,42022360,Basic,9,1017903,Sedan,8,0,No,40148,0,Business Owner,1,52.0,52.0,MEDIUM
100009,36,Male,104521699,Premium,4,13418672,Hatchback,13,1,No,31448,1,Business Owner,1,87.67,87.67,HIGH
100010,40,Male,95931591,Standard,3,8100883,SUV,8,2,No,34771,1,Student,1,68.0,68.0,MEDIUM
100011,28,Female,244348168,Standard,2,11853064,Sedan,11,1,No,48721,0,Driver,1,83.67,83.67,HIGH
100012,28,Female,116111673,Basic,9,14011328,Hatchback,1,2,No,5588,0,Engineer,1,83.67,83.67,HIGH
100013,41,Female,231297401,Basic,2,2661241,Pickup,14,1,No,17815,3,Engineer,1,82.33,82.33,HIGH
100014,70,Female,162267044,Premium,6,14832962,Motorcycle,0,1,Yes,9356,1,Office Worker,1,73.67,73.67,HIGH
100015,53,Male,115508655,Standard,5,11892542,Sedan,10,2,No,23069,1,Teacher,1,76.0,76.0,HIGH
100016,57,Male,32503276,Standard,5,9758164,Pickup,3,0,No,44889,3,Driver,1,82.67,82.67,HIGH
100017,41,Male,186933117,Basic,4,10226262,Sedan,3,1,No,17695,2,Engineer,0,53.33,53.33,MEDIUM
100018,20,Female,102344057,Standard,6,11317704,SUV,12,2,No,23783,1,Driver,1,91.0,91.0,HIGH
100019,39,Male,61515315,Premium,5,2401170,Hatchback,1,0,No,4403,2,Business Owner,1,72.33,72.33,HIGH
100020,70,Female,90818320,Standard,4,14026796,Sedan,2,0,Yes,44159,0,Business Owner,1,52.33,52.33,MEDIUM
100021,19,Male,87827874,Basic,9,14216566,Hatchback,2,1,No,31327,0,Driver,1,78.33,78.33,HIGH
100022,41,Female,223244836,Standard,6,8712254,Sedan,4,1,No,5285,1,Student,0,8.33,8.33,LOW
100023,61,Female,109792530,Standard,10,3685293,SUV,0,6,Yes,11862,0,Engineer,1,86.33,86.33,HIGH
100024,47,Male,135534699,Standard,10,14493138,SUV,8,0,Yes,4728,0,Engineer,1,86.0,86.0,HIGH
100025,55,Female,74908282,Premium,10,7444861,Pickup,7,0,No,14430,0,Business Owner,1,76.0,76.0,HIGH
100026,19,Female,217762438,Standard,3,10846358,SUV,7,2,No,37017,2,Teacher,1,85.33,85.33,HIGH
100027,38,Male,185992347,Premium,10,6819610,Hatchback,2,3,No,36646,0,Office Worker,0,7.33,7.33,LOW
100028,50,Female,57105736,Standard,6,5608474,SUV,1,2,No,31922,2,Engineer,0,5.0,5.0,LOW
100029,29,Female,173015998,Basic,1,12765091,Sedan,0,1,No,14543,0,Business Owner,0,7.0,7.0,LOW
100030,39,Female,91183387,Basic,5,9922571,SUV,11,0,Yes,29563,3,Business Owner,1,85.67,85.67,HIGH
100031,61,Male,92667845,Basic,10,14721078,Hatchback,5,3,No,28553,4,Driver,1,84.33,84.33,HIGH
100032,42,Male,169649657,Premium,6,13876717,Sedan,12,1,Yes,43470,1,Driver,1,71.33,71.33,HIGH
100033,66,Female,167715280,Standard,8,13122913,Pickup,9,0,No,10578,3,Teacher,1,75.67,75.67,HIGH
100034,44,Male,60351951,Standard,9,3114336,Pickup,0,1,No,24263,0,Driver,0,6.33,6.33,LOW
100035,59,Female,62432022,Basic,3,6028699,Pickup,13,0,No,13668,0,Office Worker,1,64.33,64.33,MEDIUM
100036,45,Female,209304606,Basic,2,11941279,Sedan,10,1,No,19922,0,Engineer,1,80.0,80.0,HIGH
100037,33,Female,173843394,Standard,4,11693297,Pickup,4,3,No,15232,0,Office Worker,1,77.33,77.33,HIGH
100038,32,Female,150124159,Standard,8,3888851,SUV,8,1,No,12092,2,Office Worker,0,7.0,7.0,LOW
100039,64,Female,129379225,Basic,8,5378023,Sedan,10,2,Yes,37234,3,Driver,1,80.33,80.33,HIGH
100040,68,Male,85678947,Standard,3,6239522,Sedan,8,2,Yes,46975,0,Teacher,1,93.67,93.67,HIGH
100041,61,Female,197163561,Basic,4,13383582,Sedan,12,1,No,43482,1,Business Owner,1,86.0,86.0,HIGH
100042,69,Male,95036964,Basic,3,6016761,Motorcycle,11,0,No,21117,3,Student,1,81.0,81.0,HIGH
100043,20,Male,203870004,Standard,10,3436901,Hatchback,14,1,No,36258,2,Business Owner,1,89.0,89.0,HIGH
100044,54,Female,56745493,Basic,2,7947797,Motorcycle,3,2,Yes,34190,0,Business Owner,1,84.0,84.0,HIGH
100045,68,Female,60507773,Premium,4,5868136,Motorcycle,6,1,No,26095,1,Business Owner,1,79.33,79.33,HIGH
100046,24,Male,160191465,Basic,6,9539016,Motorcycle,13,0,No,21302,1,Business Owner,1,86.0,86.0,HIGH
100047,38,Male,181427945,Basic,5,6923827,Hatchback,10,0,No,13226,1,Office Worker,1,76.67,76.67,HIGH
100048,26,Male,196675068,Basic,3,12349384,Motorcycle,6,1,No,43934,2,Driver,0,8.67,8.67,LOW
100049,56,Female,149112140,Standard,2,5156094,Pickup,3,1,No,13903,0,Driver,1,64.33,64.33,MEDIUM
100050,35,Male,133566794,Standard,9,3050126,Sedan,4,2,No,25409,0,Business Owner,0,8.67,8.67,LOW
100051,21,Female,114948213,Standard,1,6231308,Sedan,10,1,Yes,45446,0,Student,1,87.67,87.67,HIGH
100052,42,Female,73155151,Basic,9,12771775,SUV,8,0,Yes,17885,1,Engineer,0,71.33,71.33,HIGH
100053,31,Female,88368711,Basic,1,7213397,Pickup,6,1,Yes,9099,1,Business Owner,1,82.0,82.0,HIGH
100054,67,Male,136690343,Standard,7,2955599,Hatchback,15,0,No,29076,0,Business Owner,1,85.0,85.0,HIGH
100055,26,Female,30698618,Premium,6,7638111,Sedan,6,0,Yes,45927,2,Student,1,87.33,87.33,HIGH
100056,43,Female,185079084,Premium,7,5728257,Motorcycle,9,1,No,49578,0,Office Worker,1,70.33,70.33,HIGH
100057,70,Female,142736378,Basic,3,8169165,SUV,6,0,No,12726,0,Business Owner,1,58.0,58.0,MEDIUM
100058,19,Female,235512257,Standard,3,13111098,SUV,14,1,No,12540,1,Student,1,90.0,90.0,HIGH
100059,37,Female,239107741,Premium,1,3515553,Sedan,8,2,No,11102,0,Office Worker,1,76.0,76.0,HIGH
100060,45,Male,166040331,Standard,4,12610247,Pickup,4,3,Yes,15754,2,Office Worker,1,76.0,76.0,HIGH
100061,64,Female,183245513,Premium,2,10529827,SUV,5,3,Yes,39612,1,Teacher,1,76.67,76.67,HIGH
100062,24,Female,55320939,Basic,10,9647991,Sedan,2,0,Yes,36363,2,Teacher,1,64.67,64.67,MEDIUM
100063,61,Male,26805518,Premium,8,11849069,Pickup,0,2,No,11330,2,Teacher,0,69.0,69.0,MEDIUM
100064,25,Female,87155344,Standard,3,1176682,Sedan,10,3,No,3241,3,Business Owner,1,89.67,89.67,HIGH
100065,64,Male,120211225,Premium,7,3016987,Sedan,15,2,Yes,21747,1,Office Worker,1,84.67,84.67,HIGH
100066,52,Female,62177857,Standard,7,3909419,Pickup,11,1,No,3134,1,Business Owner,1,61.67,61.67,MEDIUM
100067,31,Male,62153969,Standard,9,11187823,Pickup,1,1,No,30835,0,Business Owner,1,70.33,70.33,HIGH
100068,34,Male,58495435,Premium,6,9485061,Pickup,7,0,No,23145,2,Driver,1,72.67,72.67,HIGH
100069,53,Female,52312498,Basic,1,1578078,Sedan,12,2,Yes,38394,1,Engineer,0,11.0,11.0,LOW
100070,67,Female,65076121,Basic,8,11823750,SUV,0,0,No,46084,1,Engineer,0,3.67,3.67,LOW
100071,57,Female,82021206,Standard,1,9797057,Hatchback,9,1,No,34119,3,Driver,1,88.67,88.67,HIGH
100072,21,Male,173222609,Standard,3,14120400,Hatchback,6,1,No,34093,1,Business Owner,1,89.0,89.0,HIGH
100073,19,Male,115185021,Premium,5,9965171,Sedan,4,2,No,10179,0,Student,1,59.67,59.67,MEDIUM
100074,23,Male,223605535,Basic,8,11441772,Sedan,15,0,No,37278,1,Office Worker,0,6.67,6.67,LOW
100075,59,Female,119257535,Standard,9,3566436,SUV,12,3,Yes,48813,0,Driver,1,92.33,92.33,HIGH
100076,21,Male,236925053,Standard,7,7118313,Pickup,5,1,No,22180,0,Teacher,0,6.67,6.67,LOW
100077,46,Male,45868901,Basic,9,4822379,Sedan,15,0,No,9907,0,Driver,1,72.0,72.0,HIGH
100078,35,Female,167813688,Standard,3,4450320,Motorcycle,7,0,No,40280,2,Driver,1,72.0,72.0,HIGH
100079,43,Male,85395758,Basic,5,4045236,Pickup,3,1,No,40070,1,Driver,1,71.0,71.0,HIGH
100080,61,Male,75516162,Basic,10,5810277,Sedan,5,4,No,46728,1,Engineer,1,70.67,70.67,HIGH
100081,51,Female,31736549,Premium,8,10851746,Motorcycle,13,1,No,7406,4,Business Owner,1,86.67,86.67,HIGH
100082,27,Male,73852189,Standard,1,9137083,SUV,10,0,No,33003,2,Driver,0,7.0,7.0,LOW
100083,53,Female,186241148,Standard,8,13164078,Motorcycle,2,1,No,22748,2,Driver,0,49.33,49.33,MEDIUM
100084,31,Female,76590272,Premium,7,13060390,Sedan,6,3,No,26152,3,Driver,1,77.67,77.67,HIGH
100085,48,Female,148370461,Standard,1,7032861,Hatchback,1,1,No,12591,1,Student,1,73.33,73.33,HIGH
100086,65,Female,108802796,Premium,10,3552387,Sedan,11,1,No,12742,1,Student,1,76.33,76.33,HIGH
100087,32,Female,82628639,Standard,10,4636402,Hatchback,7,1,No,6411,1,Office Worker,1,78.33,78.33,HIGH
100088,25,Male,39717083,Premium,6,13428706,SUV,12,0,Yes,19466,1,Business Owner,1,74.33,74.33,HIGH
100089,31,Male,135014356,Basic,1,13448441,SUV,6,1,No,41464,0,Driver,1,79.0,79.0,HIGH
100090,40,Female,55670201,Premium,2,1493496,Pickup,11,1,No,49531,1,Office Worker,1,64.0,64.0,MEDIUM
100091,57,Female,147224237,Basic,5,2519493,Pickup,11,1,No,32698,0,Teacher,1,86.33,86.33,HIGH
100092,38,Male,159070028,Basic,2,10657356,Hatchback,7,0,No,46880,2,Office Worker,1,67.67,67.67,MEDIUM
100093,33,Female,152599514,Standard,10,5164026,Hatchback,15,2,No,13475,4,Teacher,0,79.67,79.67,HIGH
100094,62,Female,165888931,Standard,1,12559637,SUV,1,0,No,34108,1,Teacher,1,71.67,71.67,HIGH
100095,35,Female,73393094,Standard,6,4714779,Motorcycle,2,1,No,21824,1,Business Owner,1,70.67,70.67,HIGH
100096,64,Male,87856981,Standard,8,2200413,Hatchback,15,1,No,8760,2,Student,1,79.67,79.67,HIGH
100097,70,Male,27750025,Standard,8,1831219,Hatchback,11,1,Yes,21166,2,Business Owner,1,74.67,74.67,HIGH
100098,41,Female,183780390,Basic,8,2955683,Motorcycle,3,1,No,49662,1,Office Worker,0,5.67,5.67,LOW
100099,43,Female,140064244,Basic,6,6250305,Pickup,11,4,No,34891,2,Teacher,1,89.67,89.67,HIGH
100100,42,Male,35478542,Basic,3,9663609,Pickup,8,0,Yes,28180,0,Business Owner,1,79.33,79.33,HIGH
100101,62,Male,64290062,Standard,1,6426723,Hatchback,11,0,No,42194,0,Student,0,6.67,6.67,LOW
100102,58,Female,145367491,Basic,2,6598023,Pickup,11,1,No,19088,1,Office Worker,0,9.0,9.0,LOW
100103,46,Female,128177695,Standard,5,10852844,Pickup,15,0,No,15525,0,Business Owner,0,8.33,8.33,LOW
100104,32,Male,71606102,Standard,10,6808625,Pickup,4,1,No,43674,1,Driver,0,5.67,5.67,LOW
100105,62,Male,221733814,Basic,5,5929405,SUV,5,0,No,11922,2,Driver,1,51.67,51.67,MEDIUM
